Function_Name,Total Time (ms),Average Latency (ns),Throughput (operations/second) 
benchmarkTypeAnyJSONCasting,62.855134,56422.92100538599, 17723.293693081618
benchmarkJsonStructConstraint,48.794669,43801.31867145422, 22830.362882469806
benchmarkJsonInitializationWithStructConstraint,9.063543,8136.035008976661, 122909.99226240776
benchmarkGetPlainJson,10.66725,9575.628366247756, 104431.78888654526
benchmarkGetConstraintJson,8.318676,7467.393177737881, 133915.5413674003
benchmarkGetPersonJson,15.797154,14180.569120287253, 70519.03146604761
benchmarkContrainingWithNestedRecords,25.909189,23257.799820466786, 42996.328445479325
benchmarkConstraintJSONToJSONCast,7.609651,6830.925493716338, 146393.04746038944
benchmarkJSONToConstraintJsonUnsafeCast,53.810312,48303.691202872535, 20702.351623607014
benchmarkConstraintJSONToConstraintJsonCast,9.197576,8256.351885098744, 121118.86871062548
benchmarkConstraintJSONToConstraintJsonUnsafePositiveCast,22.792117,20459.710053859962, 48876.547974898516
benchmarkConstraintJSONToConstraintJsonUnsafeNegativeCast,26.831347,24085.589766606823, 41518.60135832912
benchmarkJSONArrayToConstraintJsonArrayCastPositive,16.462072,14777.443447037702, 67670.70390653133
benchmarkJSONArrayToConstraintJsonArrayCastNegative,24.909651,22360.548473967683, 44721.62215359822
benchmarkJSONArrayToCJsonArrayCast,7.387416,6631.432675044884, 150796.97691317234
benchmarkJSONArrayToCJsonArrayCastNegative,21.964406,19716.70197486535, 50718.42143147418
benchmarkCJSONArrayToJsonAssignment,18.390791,16508.78904847397, 60573.79478674952
benchmarkMixedTypeJSONArrayToCJsonArrayCastNegative,27.3586,24558.886894075404, 40718.45781582391
benchmarkConstrainedJsonWithFunctions,61.965977,55624.75493716337, 17977.607292466317
benchmarkConstrainedJsonWithFunctionGetKeys,34.95164,31374.901256732497, 31872.610269503803
benchmarkPrintAnyVal,74.133576,66547.19569120287, 15026.929228397132
benchmarkPrintlnAnyVal,47.662658,42785.15080789946, 23372.594956831825
benchmarkIntAddition,1.09434,982.3518850987433, 1017965.1662189082
benchmarkIntSubtraction,0.847981,761.2037701974865, 1313708.6797935332
benchmarkIntMultiplication,0.801516,719.4937163375224, 1389866.2035442838
benchmarkIntDivision,0.82332,739.0664272890484, 1353058.3491230628
benchmarkIntTypesAddition,0.86892,780.0, 1282051.282051282
benchmarkIntegerTypesMultiplication,0.793755,712.5269299820467, 1403455.7262631417
benchmarkIntegerTypesSubtraction,0.960348,862.0718132854578, 1159996.1680557465
benchmarkIntegerTypesDivision,0.966671,867.7477558348295, 1152408.6271337403
benchmarkFloatAddition,3.415167,3065.6795332136444, 326191.95488829684
benchmarkFloatMultiplication,2.240124,2010.883303411131, 497293.89980197523
benchmarkFloatSubtraction,1.230259,1104.3617594254938, 905500.38650398
benchmarkFloatDivision,1.043444,936.6642728904848, 1067618.3868037001
benchmarkCurrentTimeFunction,19.477539,17484.325852782764, 57194.08391378398
benchmarkCreateTimeWithZoneIDFunction,4.534558,4070.518850987433, 245668.92737947116
benchmarkCreateTimeWithOffsetFunction,2.365714,2123.62118491921, 470893.77667799237
benchmarkCreateTimeWithNoZoneFunction,2.702158,2425.6355475763016, 412263.0875026553
benchmarkCreateDateTimeFunction,24.803937,22265.6526032316, 44912.22502298727
benchmarkParseTimeFunction,78.152414,70154.77019748653, 14254.198213250329
benchmarkToStringWithCreateTimeFunction,32.01206,28736.140035906643, 34799.38498178499
benchmarkFormatTimeFunction,30.115777,27033.911131059245, 36990.57806145928
benchmarkFormatTimeToRFC1123function,17.11712,15365.457809694793, 65081.041670561404
benchmarkTimeGetFunctions,16.016636,14377.59066427289, 69552.68259826845
benchmarkGetDateFunction,10.737398,9638.597845601436, 103749.53037970651
benchmarkGetTimeFunction,7.735659,6944.038599640933, 144008.4160896958
benchmarkAddDurationFunction,55.641916,49947.85996409336, 20020.87778573261
benchmarkSubtractDurationFunction,33.93603,30463.22262118492, 32826.46791625302
benchmarkToTimezoneFunction,10.018578,8993.337522441652, 111193.4248553038
benchmarkToTimezoneFunctionWithDateTime,25.196773,22618.2881508079, 44212.01079995442
benchmarkManualTimeCreateFunction,6.142213,5513.656193895871, 181367.85552699002
benchmarkManualTimeCreateFunctionWithNoZone,2.222907,1995.428186714542, 501145.57199199067
benchmarkManualTimeCreateFunctionWithEmptyZone,2.160798,1939.6750448833034, 515550.27355634357
benchmarkParseTimeFunctionWithDifferentFormats,115.499947,103680.38330341113, 9645.026070877764
